jahr,kategorie,zahlungspflichtiger,betrag_mrd_euro,notiz
2048,kindererziehungszeiten,Bund,33.788,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2048,pflegezeiten,Pflegeversicherung,9.938,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2048,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,10.030,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2048,versorgungsdienststellen,Versorgungsdienststellen,2.378,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2049,kindererziehungszeiten,Bund,34.632,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2049,pflegezeiten,Pflegeversicherung,10.187,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2049,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,10.281,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2049,versorgungsdienststellen,Versorgungsdienststellen,2.438,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2050,kindererziehungszeiten,Bund,35.498,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2050,pflegezeiten,Pflegeversicherung,10.441,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2050,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,10.538,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2050,versorgungsdienststellen,Versorgungsdienststellen,2.499,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2051,kindererziehungszeiten,Bund,36.386,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2051,pflegezeiten,Pflegeversicherung,10.702,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2051,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,10.802,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
