jahr,destatis_variante,destatis_variante_label,rentenalter_szenario,regelaltersgrenze,alter,bevoelkerung_altersjahr_mio,nicht_in_rente_anteil,nicht_in_rente_mio,erwerbstaetigenquote_65plus,effektive_beitragszahler_mio
2050,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,70.667,69,1.981,1.000,1.981,0.102131,0.172
2050,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,70.667,70,1.959,0.667,1.306,0.102131,0.113
2050,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,70.667,71,1.836,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,70.667,72,1.776,0.000,0.000,0.102131,0.000
2070,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,67,1.745,0.000,0.000,0.102131,0.000
2070,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,68,1.763,0.000,0.000,0.102131,0.000
2070,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,69,1.802,0.000,0.000,0.102131,0.000
2070,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,70,1.882,0.000,0.000,0.102131,0.000
2070,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,71,1.882,0.000,0.000,0.102131,0.000
2070,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,72,1.898,0.000,0.000,0.102131,0.000
2070,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,71.500,67,1.745,1.000,1.745,0.102131,0.151
2070,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,71.500,68,1.763,1.000,1.763,0.102131,0.153
2070,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,71.500,69,1.802,1.000,1.802,0.102131,0.156
2070,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,71.500,70,1.882,1.000,1.882,0.102131,0.163
2070,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,71.500,71,1.882,0.500,0.941,0.102131,0.082
2070,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,71.500,72,1.898,0.000,0.000,0.102131,0.000
2070,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,72.000,67,1.745,1.000,1.745,0.102131,0.151
2070,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,72.000,68,1.763,1.000,1.763,0.102131,0.153
2070,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,72.000,69,1.802,1.000,1.802,0.102131,0.156
2070,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,72.000,70,1.882,1.000,1.882,0.102131,0.163
2070,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,72.000,71,1.882,1.000,1.882,0.102131,0.163
2070,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,72.000,72,1.898,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,67,2.397,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,68,2.416,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,69,2.439,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,70,2.398,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,71,2.399,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,72,2.332,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.000,67,2.397,1.000,2.397,0.102131,0.208
2035,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.000,68,2.416,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.000,69,2.439,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.000,70,2.398,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.000,71,2.399,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.000,72,2.332,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.000,67,2.397,1.000,2.397,0.102131,0.208
2035,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.000,68,2.416,1.000,2.416,0.102131,0.210
2035,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.000,69,2.439,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.000,70,2.398,0.000,0.000,0.102131,0.000
2035,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.000,71,2.399,0.000,0.000,0.102131,0.000
